,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
347,<__main__.Entity object at 0x7f3187dc4a58>,Indiana,40,"['Region', 'PopulatedPlace', 'Place', 'Location', 'AdministrativeRegion']","{1539, 1541, 521, 1545, 779, 1548, 1679, 1553, 1657, 1555, 1558, 1658, 1560, 1561, 1659, 1569, 1826, 805, 1579, 1581, 1582, 1709, 1587, 1588, 2485, 1591, 1592, 1982, 332, 333, 1625, 478, 869, 1125, 360, 1647, 1529, 1530, 1531, 1661}","{'INDIANA', 'Indiana', 'IN'}",0.2312172224476912,0.0
348,<__main__.Entity object at 0x7f3188301d30>,Relief,1,[],{333},{'relief'},0.575,0.575
349,<__main__.Entity object at 0x7f3188301f28>,Sean_Hannity,1,"['Agent', 'Person']",{334},{'Hannity'},0.0,0.0
350,<__main__.Entity object at 0x7f3188304198>,Remembrance_Project,1,"['Agent', 'Organisation']",{339},{'Remembrance Project'},-0.19444444444444448,-0.19444444444444448
351,<__main__.Entity object at 0x7f31882fe160>,Earthquake,1,[],{340},{'earthquakes'},0.3,0.3
352,<__main__.Entity object at 0x7f31882fe518>,Italy,1,"['PopulatedPlace', 'Place', 'Location', 'Country']",{340},{'Italy'},0.3,0.3
353,<__main__.Entity object at 0x7f31883049e8>,Myanmar,1,"['PopulatedPlace', 'Place', 'Location', 'Country']",{340},{'Myanmar'},0.3,0.3
354,<__main__.Entity object at 0x7f31883045c0>,Fred_Allen,1,"['Presenter', 'Person', 'Agent', 'TelevisionHost']",{342},{'Town Hall tonight'},0.5,0.5
355,<__main__.Entity object at 0x7f318829a2b0>,"Austin,_Texas",2,"['Settlement', 'PopulatedPlace', 'Place', 'Location', 'City']","{342, 343}","{'Austin, Texas'}",0.3513888888888889,0.3513888888888889
356,<__main__.Entity object at 0x7f3187f16128>,United_States_Border_Patrol,4,[],"{1840, 1231, 1230, 343}","{'Border Patrol', 'border patrol'}",0.23819444444444446,0.22638888888888892
357,<__main__.Entity object at 0x7f3188301710>,Raymond_James_Stadium,1,[],{344},"{'Tampa, Florida'}",0.0,0.0
358,<__main__.Entity object at 0x7f3187dcae48>,Interstate_495_(New_York),2,"['RouteOfTransportation', 'Place', 'Location', 'Infrastructure', 'ArchitecturalStructure', 'Road']","{346, 2487}",{'LIE'},0.10555555555555554,0.10555555555555554
359,<__main__.Entity object at 0x7f3188087f28>,Political_history,2,[],"{347, 1390}",{'political history'},-0.21666666666666665,-0.21666666666666665
360,<__main__.Entity object at 0x7f318829ae80>,In_Trump_We_Trust,1,"['WrittenWork', 'Work', 'Book']",{350},{'In Trump We Trust'},0.2537878787878788,0.2537878787878788
361,<__main__.Entity object at 0x7f3187f70cf8>,Terrific_(comics),5,[],"{1361, 914, 1777, 1658, 350}",{'terrific'},0.16606060606060605,0.06818181818181818
362,<__main__.Entity object at 0x7f3187cd1160>,Eastern_Time_Zone,4,[],"{2440, 2865, 354, 1726}","{'Eastern', 'EASTERN'}",0.675,0.65
363,<__main__.Entity object at 0x7f318829af28>,Some_Day_(1925_song),1,[],{355},{'Some day'},-0.11701388888888889,-0.11701388888888889
364,<__main__.Entity object at 0x7f318830eef0>,Neuroticism,1,[],{356},{'neurotic'},-0.2439903846153846,-0.2439903846153846
365,<__main__.Entity object at 0x7f318829a080>,Swedish_Hockey_League,2,"['SportsLeague', 'Organisation', 'Agent', 'IceHockeyLeague']","{357, 358}",{'shl'},0.5,0.5
366,<__main__.Entity object at 0x7f318830ec50>,Los_Angeles_Times,1,"['WrittenWork', 'Work', 'PeriodicalLiterature', 'Newspaper']",{357},{'LA Times'},0.0,0.0
367,<__main__.Entity object at 0x7f318830e7f0>,Periscope,1,[],{359},{'Periscope'},0.0,0.0
368,<__main__.Entity object at 0x7f318830e828>,House_of_Commons_of_the_United_Kingdom,1,"['Organisation', 'Agent', 'Legislature']",{359},{'HC'},0.0,0.0
369,<__main__.Entity object at 0x7f318830e978>,Tesla_(unit),1,[],{359},{'YT'},0.0,0.0
370,<__main__.Entity object at 0x7f3187c80ef0>,Defensive_tackle,3,[],"{2929, 2635, 359}",{'DT'},-0.11666666666666667,-0.1
371,<__main__.Entity object at 0x7f3188312518>,Heel,1,['AnatomicalStructure'],{361},{'heel'},0.3333333333333333,0.3333333333333333
372,<__main__.Entity object at 0x7f3187ba5b38>,Swing_music,3,"['TopicalConcept', 'Genre', 'MusicGenre']","{616, 3194, 366}","{'Swing', 'swing'}",0.6087121212121213,0.6136363636363636
373,<__main__.Entity object at 0x7f3188312550>,ONE_Championship,1,"['Organisation', 'Agent', 'Company']",{368},{'ONE'},-0.3,-0.3
374,<__main__.Entity object at 0x7f3188312240>,Common_purpose,1,[],{368},{'common purpose'},-0.3,-0.3
