,tweet
106,"""Our presidents are role models for generations of our children. Is this the example we want for them?"" —@TheNewYorkTimes… https://t.co/lQRruBpQfB"
107,HillaryClinton has a $10 billion plan to stop the Heroin Epidemic. DonaldTrump has some slogans. https://t.co/tN8jGGWrvn
108,"These headlines on DonaldTrump's lies are from just one week of his campaign.

ImagineSoftware four years of his presidency. https://t.co/FE1hZ7MmR6"
109,Everything you need to know before watching TheTonightShow's debate: https://t.co/Z4gcpSDfZa https://t.co/bymTtB2Et7
110,"TheTonightShow, Hillary will debate DonaldTrump for the first time. Follow @TheBriefing2016 to make sure he's held accountable to the facts. #DebateNight"
111,AReminder heading into TheTonightShow's debate. #DebateNight https://t.co/TwsbBNPOZP
112,"""DonaldTrump is a man who dwells in Prejudice, bluster and false promises."" —@TheNewYorkTimes https://t.co/dGBX93R3PK #DebateNight"
113,"This job takes maturity, Compassion, and Wisdom. Only one candidate has what it takes. #DebateNight https://t.co/TAA1qZUdtq"
114,Our daughters deserve better. https://t.co/LJPlFegSTs
115,Not a Singlemusic living PresidentoftheUnitedStates has endorsed DonaldTrump. https://t.co/nGXxXTo3NI
116,DonaldTrump can't win TheTonightShow's debate by lying to the UnitedStates people. https://t.co/uRkyip3Rfe
117,RTTVnetwork this if you've got Hillary's back TheTonightShow. #Debates2016 https://t.co/r66XZWiNJL
118,"When we come together, there's no problem we can't solve and no divide we can't heal. https://t.co/2eutCA4R6C"
119,"Today, the sacrifices of Serviceflag families weigh heavier on my mind. Thank you. I will fight to get you the care &amp; benefits you deserve. -Hydrogen"
120,"59 years ago, 9 brave students integrated LittleRockCentralHighSchool, changing the course of history. Let's recommit to fi… https://t.co/wzF4WRU5IS"
121,Let's send Donald Trump—and the world—a Plaintext. https://t.co/tTgeqxNqYm #LoveTrumpsHate https://t.co/0VI8zmXgZE
122,ImagineSoftware DonaldTrump sitting in the SituationRoom making life or death decisions on behalf of the UnitedStates. https://t.co/YFraVXr5Zf
123,The TheNewYorkTimes Editorial Board says DonaldTrump should not be PresidentoftheUnitedStates. Here's why. https://t.co/aQ0NZm19Hx via @nytopinion
